Role,General Server Permissions,View Channels,Manage Channels,Manage Roles,Create Expressions,Manage Expressions,View Audit Log,View Server Insights,Manage Webhooks,Manage Server,Membership Permissions,Create Invite,Change Nickname,Manage Nicknames,"Kick, Approve, and Reject Members",Ban Members,Timeout Members,Text Channel Permissions,Send Messages,Send Messages in Threads,Create Public Threads,Create Private Threads,Embed Links,Attach Files,Add Reactions,Use External Emoji,Use External Stickers,"Mention @everyone, @here, and All Roles",Manage Messages,Manage Threads,Read Message History,Send Text-to-Speech Messages,Send Voice Messages,Create Polls,Voice Channel Permissions,Connect,Speak,Video,Use Soundboard,Use External Sounds,Use Voice Activity,Priority Speaker,Mute Members,Deafen Members,Move Members,Set Voice Channel Status,Apps Permissions,Use Application Commands,Use Activities,Use External Apps,Stage Channel Permissions,Request to Speak,Events Permissions,Create Events,Manage Events,Advanced Permissions,Administrator
Knight,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Squire,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Crafter,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Server Booster,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
VR,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
PVE Guest,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
PVP Member,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
PVP Guest,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
Verified,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
@everyone,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,,Disabled,Disabled,Disabled,,Disabled,,Disabled,Disabled,,Disabled
